CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F215,
,,,,,Age : Age 16 and over - Qualifications gained [E][W] : No qualifications - Unit : Persons,
25753,E01006667,Liverpool 007C,Lower Super Output Areas and Data Zones,LSOADZ,402,
25754,E01006668,Liverpool 007D,Lower Super Output Areas and Data Zones,LSOADZ,197,
25755,E01006669,Liverpool 004E,Lower Super Output Areas and Data Zones,LSOADZ,236,
25756,E01006670,Liverpool 007E,Lower Super Output Areas and Data Zones,LSOADZ,260,
25757,E01006671,Liverpool 013D,Lower Super Output Areas and Data Zones,LSOADZ,328,
25758,E01006672,Liverpool 010E,Lower Super Output Areas and Data Zones,LSOADZ,549,
25759,E01006673,Liverpool 037D,Lower Super Output Areas and Data Zones,LSOADZ,484,
25760,E01006674,Liverpool 039C,Lower Super Output Areas and Data Zones,LSOADZ,551,
25761,E01006675,Liverpool 043C,Lower Super Output Areas and Data Zones,LSOADZ,383,
25762,E01006676,Liverpool 044D,Lower Super Output Areas and Data Zones,LSOADZ,503,
25763,E01006677,Liverpool 043D,Lower Super Output Areas and Data Zones,LSOADZ,346,
25764,E01006678,Liverpool 044E,Lower Super Output Areas and Data Zones,LSOADZ,698,
25765,E01006679,Liverpool 039D,Lower Super Output Areas and Data Zones,LSOADZ,622,
25766,E01006680,Liverpool 053B,Lower Super Output Areas and Data Zones,LSOADZ,202,
25767,E01006681,Liverpool 054D,Lower Super Output Areas and Data Zones,LSOADZ,333,
25768,E01006682,Liverpool 053C,Lower Super Output Areas and Data Zones,LSOADZ,143,
25769,E01006683,Liverpool 053D,Lower Super Output Areas and Data Zones,LSOADZ,203,
25770,E01006684,Liverpool 056B,Lower Super Output Areas and Data Zones,LSOADZ,219,
25771,E01006685,Liverpool 056C,Lower Super Output Areas and Data Zones,LSOADZ,233,
25772,E01006686,Liverpool 053E,Lower Super Output Areas and Data Zones,LSOADZ,218,
25773,E01006687,Liverpool 056D,Lower Super Output Areas and Data Zones,LSOADZ,318,
25774,E01006688,Liverpool 056E,Lower Super Output Areas and Data Zones,LSOADZ,273,
25775,E01006689,Liverpool 049D,Lower Super Output Areas and Data Zones,LSOADZ,237,
25776,E01006690,Liverpool 028A,Lower Super Output Areas and Data Zones,LSOADZ,404,
25777,E01006691,Liverpool 030A,Lower Super Output Areas and Data Zones,LSOADZ,363,
25778,E01006692,Liverpool 028B,Lower Super Output Areas and Data Zones,LSOADZ,557,
25779,E01006693,Liverpool 024D,Lower Super Output Areas and Data Zones,LSOADZ,682,
25780,E01006694,Liverpool 030B,Lower Super Output Areas and Data Zones,LSOADZ,489,
25781,E01006695,Liverpool 028C,Lower Super Output Areas and Data Zones,LSOADZ,410,
25782,E01006696,Liverpool 030C,Lower Super Output Areas and Data Zones,LSOADZ,489,
25783,E01006697,Liverpool 030D,Lower Super Output Areas and Data Zones,LSOADZ,491,
25784,E01006698,Liverpool 012D,Lower Super Output Areas and Data Zones,LSOADZ,449,
25785,E01006699,Liverpool 014A,Lower Super Output Areas and Data Zones,LSOADZ,613,
25786,E01006700,Liverpool 012E,Lower Super Output Areas and Data Zones,LSOADZ,492,
25787,E01006701,Liverpool 014B,Lower Super Output Areas and Data Zones,LSOADZ,451,
