CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
25664,E01006570,Liverpool 026C,Lower Super Output Areas and Data Zones,LSOADZ,1479,
25665,E01006571,Liverpool 026D,Lower Super Output Areas and Data Zones,LSOADZ,1470,
25666,E01006572,Liverpool 025A,Lower Super Output Areas and Data Zones,LSOADZ,1207,
25667,E01006573,Liverpool 029C,Lower Super Output Areas and Data Zones,LSOADZ,1501,
25668,E01006574,Liverpool 025B,Lower Super Output Areas and Data Zones,LSOADZ,1388,
25669,E01006575,Liverpool 034A,Lower Super Output Areas and Data Zones,LSOADZ,1294,
25670,E01006576,Liverpool 034B,Lower Super Output Areas and Data Zones,LSOADZ,1693,
25671,E01006577,Liverpool 034C,Lower Super Output Areas and Data Zones,LSOADZ,1503,
25672,E01006578,Liverpool 036A,Lower Super Output Areas and Data Zones,LSOADZ,1380,
25673,E01006579,Liverpool 034D,Lower Super Output Areas and Data Zones,LSOADZ,1643,
25674,E01006580,Liverpool 036B,Lower Super Output Areas and Data Zones,LSOADZ,1335,
25675,E01006581,Liverpool 036C,Lower Super Output Areas and Data Zones,LSOADZ,1559,
25676,E01006582,Liverpool 041A,Lower Super Output Areas and Data Zones,LSOADZ,1642,
25677,E01006583,Liverpool 047C,Lower Super Output Areas and Data Zones,LSOADZ,1758,
25678,E01006584,Liverpool 034E,Lower Super Output Areas and Data Zones,LSOADZ,1393,
25679,E01006585,Liverpool 032B,Lower Super Output Areas and Data Zones,LSOADZ,1354,
25680,E01006586,Liverpool 032C,Lower Super Output Areas and Data Zones,LSOADZ,1899,
25681,E01006587,Liverpool 032D,Lower Super Output Areas and Data Zones,LSOADZ,1624,
25682,E01006588,Liverpool 042C,Lower Super Output Areas and Data Zones,LSOADZ,1569,
25683,E01006589,Liverpool 041B,Lower Super Output Areas and Data Zones,LSOADZ,1518,
25684,E01006590,Liverpool 042D,Lower Super Output Areas and Data Zones,LSOADZ,1642,
25685,E01006591,Liverpool 041C,Lower Super Output Areas and Data Zones,LSOADZ,1633,
25686,E01006592,Liverpool 041D,Lower Super Output Areas and Data Zones,LSOADZ,1565,
25687,E01006593,Liverpool 042E,Lower Super Output Areas and Data Zones,LSOADZ,1541,
25688,E01006594,Liverpool 047D,Lower Super Output Areas and Data Zones,LSOADZ,1410,
25689,E01006595,Liverpool 049B,Lower Super Output Areas and Data Zones,LSOADZ,1745,
25690,E01006596,Liverpool 049C,Lower Super Output Areas and Data Zones,LSOADZ,1451,
25691,E01006597,Liverpool 041E,Lower Super Output Areas and Data Zones,LSOADZ,1667,
25692,E01006598,Liverpool 010A,Lower Super Output Areas and Data Zones,LSOADZ,1361,
